,POD,COM_ID,CSL_ID,CNTR_ID,ENCODED_TERM,COST_TERM,POD_ID,ETD_POL_D,PARTY_ID,PARTY_ID_EN,PARTY_NAME,POD_ID_EN,ETA_ETD_NO,CNTR_SIZE,ENCODED_TYPE,CNTR_TYPE,RATE
0,2023-01-01,010,ECS010221200250,010000300702,2,FP,LAEM CHABANG,THLCH,01006636,1006636,SAMUDERA SHIPPING LINE LTD,2283159604,20230101,40,1,HC,375
1,2023-01-02,010,ECS010221100414,010000296079,2,FP,DURBAN,ZADUR,010026822,10026822,OCEAN NETWORK EXPRESS PTE LTD,3893107451,20230102,40,1,HC,500
2,2023-01-03,010,ECS010221200039,010000282060,2,FP,PORT LOUIS,MUPLU,01005812,1005812,PACIFIC INTERNATIONAL LINES (PTE) LTD,1399520203,20230103,40,1,HC,3300
3,2023-01-04,010,ECS010221100260,010000299662,2,FP,SHANGHAI,CNSHA,01005114,1005114,KMTC (SINGAPORE) PTE LTD,2239773858,20230104,40,1,HC,125
4,2023-01-05,010,ECS010221200072,010000292993,2,FP,SANTOS,BRSSZ,010026822,10026822,OCEAN NETWORK EXPRESS PTE LTD,1953456901,20230105,40,1,HC,574
5,2023-01-06,010,ECS010221200016,010000295534,2,FP,TEMA,GHTEM,01001591,1001591,COSCO SHIPPING LINES (SINGAPORE) PTE LTD,727282908,20230106,40,1,HC,3100
6,2023-01-07,010,ECS010221100103,010000312655,2,FP,TAICHUNG,TWTXG,01008573,1008573,WAN HAI INTERNATIONAL PTE LTD,1520839859,20230107,20,2,GP,1575
7,2023-01-08,010,ECS010221200428,010000311150,2,FP,LAEM CHABANG,THLCH,01006636,1006636,SAMUDERA SHIPPING LINE LTD,2283159604,20230108,40,1,HC,465
8,2023-01-10,010,ECS010221200035,010000318969,2,FP,YANGON (AWPT),MMAWT,01005767,1005767,OV LOGISTICS PTE LTD,287669290,20230110,40,1,HC,2500
9,2023-01-11,010,ECS010221100056,010000294194,2,FP,KAOHSIUNG,TWKHH,01008827,1008827,YANG MING (SINGAPORE) PTE. LTD.,1952508587,20230111,40,1,HC,250
10,2023-01-13,010,ECS010221200232,010000314966,2,FP,TAMATAVE (TOAMASINA),MGTMM,01005812,1005812,PACIFIC INTERNATIONAL LINES (PTE) LTD,2395733464,20230113,40,1,HC,1450
11,2023-01-14,010,ECS010221200358,010000305270,2,FP,XINGANG,CNTXG,01005114,1005114,KMTC (SINGAPORE) PTE LTD,1774014664,20230114,40,1,HC,700
12,2023-01-15,010,ECS010230100166,010000339267,2,FP,CHITTAGONG,BDCGP,010005467,10005467,FEDERATED CARGO LINE PTE LTD,411698144,20230115,40,1,HC,700
13,2023-01-17,010,ECS010221200417,010000332800,2,FP,BANGKOK,THBKK,01006636,1006636,SAMUDERA SHIPPING LINE LTD,2469764333,20230117,40,1,HC,400
14,2023-01-18,010,ECS010221200010,010000317795,2,FP,ABIDJAN,CIABJ,01001591,1001591,COSCO SHIPPING LINES (SINGAPORE) PTE LTD,1027672632,20230118,40,1,HC,2250
